BeerID,Brewery_Name,Beer_Name,breweryID,LocationID,Beer_Type
134,612 Brew,RV4,2,3,3
135,612 Brew,Upstairs Downstairs,2,3,5
136,612 Brew,Light Into Ashes,2,3,5
137,612 Brew,IPA on Cask,2,3,4
138,612 Brew,Don't Call it a Comeback,2,3,4
139,612 Brew,Soft Skills,2,3,4
140,612 Brew,IPA,2,3,4
141,612 Brew,Unrated Rye IPA,2,3,4
142,612 Brew,Resilience,2,3,4
143,612 Brew,Mill City Pilsner,2,3,3
14,Able Seedhouse and Brewery,First Light American IPA,3,3,4
15,Able Seedhouse and Brewery,House Red American Red Ale,3,3,8
16,Able Seedhouse and Brewery,BLK WLF Stout,3,3,6
17,Able Seedhouse and Brewery,Propers Pub Ale,3,3,4
18,Able Seedhouse and Brewery,Supergiant Golden Ale,3,3,4
19,Able Seedhouse and Brewery,Cosmic Fruit Citrus Pale Ale,3,3,4
70,Bad Weather Brewery,Dusk Light American Brown Ale,4,4,7
71,Bad Weather Brewery,The Hopcomancer West Coast IPA,4,4,5
72,Bad Weather Brewery,Starless Rye Black Rye IPA,4,4,5
73,Bad Weather Brewery,Comet Shower American Pale Ale,4,4,4
74,Bad Weather Brewery,Tripel Vortex Belgian Tripel,4,4,4
75,Bad Weather Brewery,Migration Blone Ale,4,4,4
76,Bad Weather Brewery,Scottish Mist Scottish Light Ale,4,4,3
77,Bad Weather Brewery,Galactic Tide Rye Porter,4,4,6
78,Bad Weather Brewery,Ominous Double Brown Ale,4,4,7
79,Bad Weather Brewery,Munich Dunkel Lager,4,4,9
80,Bad Weather Brewery,Biere De Garde,4,4,7
81,Bad Weather Brewery,Rasberry Anomaly Sour Ale,4,4,1
82,Bad Weather Brewery,Gose Sour German Wheat,4,4,2
116,Bald Man Brewing,Heart of Glass Blondie Ale,5,4,4
117,Bald Man Brewing,Purple Haze Bro Hazy IPA,5,4,5
118,Bald Man Brewing,Young American Pale Ale,5,4,5
119,Bald Man Brewing,Rocktoberfest Marzen Lager,5,4,9
120,Bald Man Brewing,Misty Mountain Hops IPA,5,4,5
121,Bald Man Brewing,Batch 100 Imperial Brown Ale,5,4,7
122,Bald Man Brewing,Tupelo Honey Brown Ale,5,4,7
