Brewery_Name,LocationID,label,lat,long,food1_name,food1_description,food1_url,food1_delivers,food2_name,food2_description,food2_url,food2_delivers,food3_name,food3_description,food3_url,food3_delivers,food4_name,food4_description,food4_url,food4_delivers
612 Brew,3,https://untappd.akamaized.net/site/brewery_logos/brewery-8900_32bb5.jpeg,44.9991,-93.2467,Animales Barbeque Co.,BBQ,https://www.animalesbarbeque.com/,0,Uncle Franky's,"Burgers, Hot Dogs, Hot Sandwiches",http://www.unclefrankys.com/,0,Domo Ramen,Japanese Fusion,https://www.domoramen.com/,0,Centro,Tacos/Oyster,https://popolvuhmpls.com/centro,0
Able Seedhouse and Brewery,3,https://untappd.akamaized.net/site/brewery_logos/brewery-234356_a5517.jpeg,45.0001,-93.2512,Animales Barbeque Company,BBQ and Fresh Smoked Meats,https://www.instagram.com/animalesbarbequeco/,1,Uncle Franky's,American Food,http://www.unclefrankys.com/goodmenu.shtml,0,Ideal Diner,"All-day breakfasts, plus sandwiches & burgers served with chips",https://www.idealdiner.com/menu,0,MN Nice Cream,Desert/ Ice Cream,https://www.mnnicecream.com/,0
Bad Weather Brewery,4,https://untappd.akamaized.net/site/brewery_logos/brewery-badweatherbrewingcompany_48042.jpeg,44.9389,-93.1102,Potter's Pasties,English Food Food Truck,http://potterspasties.com/menu/,1,Gerhard's Brats,German Sausages Food Truck,https://roaminghunger.com/gerhards-brats/,1,Solo Pizza,Pizza,https://solospizza.com/menu/,1,Tiki Tims,"Fish Tacos, Crab Cakes, and Polynessian Blend Foods",http://www.tikitimsmn.com/ourfood/,1
Bald Man Brewing,4,https://untappd.akamaized.net/site/brewery_logos/brewery-73206_4f773.jpeg,44.8201,-93.2112,Jensen's Food & Cocktail,"Casual eatery for classic steak & seafood dishes plus beer, specialty martinis & early-bird deals.",https://jensensfoodandcocktails.com/reservation/,0,Davanni's Pizza & Hot Hoagies,"Regional chain with a long menu of pizzas, hoagies & more, ordered at the counter or for delivery.",https://www.davannis.com/,1,Rack Shack BBQ,"Unfussy eatery focusing on Memphis-style BBQ fare including ribs, pulled pork, brisket & turkey.",https://www.rackshackbarbeque.com/,1,Fitz's Bar & Grill,Beer & pub grub at a bowling alley featuring 36 lanes & a seasonal outdoor volleyball court.,http://www.cedarvalelanes.com/fitz-s-bar---grill2.html,0
Barrel Theory,4,https://untappd.akamaized.net/site/brewery_logos/brewery-161782_65583.jpeg,44.9489,-93.2885,Darkhorse Bar and Eatery,Bar Food and Pizza,http://darkhorsebarandeatery.com/menus/,0,The Bulldog Lowertown,Bar Food,https://www.thebulldogmn.com/,0,Handsome Hog,BBQ/Comfort Food,http://www.handsomehog.com/,0,Octo Fishbar,Seafood,https://octostp.com/,0
Bauhaus Brew Labs,3,https://untappd.akamaized.net/site/brewery_logos/brewery-119988_b5009.jpeg,45.0011,-93.2458,Maya Cuisine,Mexican,https://www.facebook.com/MayaCuisine/,0,Frank and Andrea,Pizza and Hoagies,https://frankandandrea.com/,0,Que Viet,Chinese-Vietnamese,http://places.singleplatform.com/que-viet-village-house/menu,1,null,null,null,0
Boom Island Brewing,3,https://untappd.akamaized.net/site/brewery_logos/brewery-21209_0c06a.jpeg,45.0019,-93.2803,Taco Bell,Tacos,https://popolvuhmpls.com/centro,0,Pappy's Chicago Eatery,"Chicago Style Wings, Burgers, Sandwiches",http://www.pappyschicagoeatery.com/,0,Broadway Pizza,Pizza,https://www.broadwaypizza.com/minneapolis/index.html,1,Jonah's Cajun Seafood,Cajun Seafood,null,0
Dangerous Man Brewery,3,https://untappd.akamaized.net/site/brewery_logos/brewery-DangerousManBrewingCo_51096.jpeg,45.0011,-93.2664,Sasquatch Sandwiches,Food Truck,http://www.sasquatchsandwiches.com/,1,Young Joni,American Food and Woodfire Pizzas,https://www.youngjoni.com/,0,The Anchor Fish & Chips,European Food,http://www.theanchorfishandchips.com/,1,Northeast Social,Relaxed bistro featuring refined American & Continental cuisine plus a playful tiki bar.,https://www.northeastsocial.com/,0
Day Block Brewing,2,https://untappd.akamaized.net/site/brewery_logos/brewery-dayblockbrewingcompany_70143.jpeg,44.9752,-93.2528,Restaurant,Pizza,https://www.dayblockbrewing.com/eats/lunch-and-dinner,1,null,null,null,0,null,null,null,0,null,null,null,0
Eastlake Craft Brewery,1,https://untappd.akamaized.net/site/brewery_logos/brewery-173329_e8af8.jpeg,44.9487,-93.2607,Taco Cat,Tacos,http://www.tacocatmn.com/,1,Manny's Tortas,Mexican,http://mannystortas.com/,1,Moroccan Flavors,Moroccan,http://moroccanflavorsmpls.com/#restaurant-section,1,Hot Indian,Indian,https://www.hotindianfoods.com/,1
